,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),TOTAL DEMAND
184,2021/08/04,7.8,14.5,0.6,1.8,3.4,WSW,31.0,12:09,10.2,78.0,7.0,W,11,1016.0,14.3,67,7.0,W,9,1015.5,5491.74
43,2021/03/16,11.1,20.6,0.0,2.2,8.0,SSW,26.0,13:50,16.2,68.0,7.0,SSE,9,1026.7,19.6,62,1.0,SSW,13,1024.7,4675.09
31,2021/03/04,13.6,21.4,0.0,4.0,2.6,WSW,35.0,22:37,15.3,60.0,7.0,WSW,11,1017.2,19.0,60,7.0,SSW,7,1015.3,4693.95
295,2021/11/23,14.7,26.1,0.0,6.8,2.4,N,43.0,08:31,20.7,49.0,7.0,N,24,1016.7,24.6,47,7.0,N,17,1014.4,4491.87
248,2021/10/07,9.4,16.4,4.0,6.2,10.3,W,43.0,02:59,11.1,67.0,1.0,W,11,1012.6,15.3,44,7.0,SW,13,1014.0,4416.08
134,2021/06/15,7.0,15.6,0.0,0.8,0.0,N,24.0,17:27,8.5,89.0,7.0,NNE,7,1017.5,15.0,60,7.0,NNE,9,1014.5,5476.77
404,2022/03/12,11.7,22.6,0.0,3.4,10.7,S,28.0,14:49,14.2,77.0,7.0, ,Calm,1022.7,20.8,57,1.0,S,13,1021.0,3963.24
263,2021/10/22,13.7,27.3,0.0,4.6,6.1,N,41.0,10:43,18.1,69.0,1.0,NE,2,1015.3,26.5,40,7.0,NNW,15,1011.1,4448.53
291,2021/11/19,13.1,17.3,0.2,9.2,2.1,S,31.0,00:46,15.5,60.0,7.0,SSW,13,1014.3,16.0,59,7.0,S,13,1013.0,4439.38
58,2021/03/31,11.4,22.8,0.0,3.2,8.9,S,19.0,15:44,15.3,77.0,7.0, ,Calm,1026.6,21.0,58,1.0,S,7,1023.7,4737.36
205,2021/08/25,8.0,14.1,2.2,1.2,5.4,S,37.0,16:26,12.1,73.0,3.0,SSE,15,1023.3,13.4,59,6.0,SSW,17,1021.8,5262.64
231,2021/09/20,10.7,13.8,0.4,5.6,6.6,W,50.0,13:35,12.4,51.0,4.0,WNW,17,1011.9,10.3,62,7.0,WNW,17,1011.7,4875.8
5,2021/02/06,16.9,25.4,1.6,9.0,9.5,NW,39.0,11:44,18.6,59.0,7.0,N,17,998.5,23.7,45,7.0,NW,11,999.5,3993.73
325,2021/12/23,13.8,19.9,0.0,5.8,8.7,SSW,31.0,12:53,15.8,58.0,7.0,SE,11,1015.0,18.6,56,4.0,SSW,13,1014.7,3994.12
323,2021/12/21,15.3,24.9,0.0,7.8,13.1,S,31.0,18:57,17.3,64.0,6.0,WSW,9,1015.0,24.0,49,1.0,SSW,9,1012.1,4243.73
232,2021/09/21,6.3,13.2,8.0,3.0,3.5,SSW,43.0,12:05,7.9,84.0,4.0,W,11,1025.2,12.3,54,7.0,S,11,1026.4,5248.19
107,2021/05/19,9.8,18.5,0.0,3.6,6.7,N,39.0,14:45,12.5,70.0,2.0,N,15,1027.6,17.9,45,7.0,NNW,13,1024.3,5078.29
255,2021/10/14,8.2,19.4,14.8,6.2,10.0,N,39.0,09:16,11.7,75.0,1.0,N,9,1006.0,18.1,37,6.0,NNW,9,1003.5,4584.84
302,2021/11/30,14.4,31.6,0.0,8.0,13.6,N,31.0,09:41,22.0,50.0,0.0,NNE,11,1015.0,30.6,23,4.0,NNE,13,1011.2,4909.72
233,2021/09/22,7.9,17.8,0.2,0.8,6.2,W,26.0,00:07,12.5,79.0,7.0,SW,7,1026.7,16.4,63,3.0,SSW,13,1023.6,4893.82
77,2021/04/19,12.0,20.6,0.0,2.8,2.3,NW,30.0,13:27,15.3,64.0,6.0,N,9,1018.4,18.9,47,6.0,NNW,15,1014.1,4769.14
213,2021/09/02,15.0,26.6,0.0,7.6,10.8,N,65.0,12:18,21.8,34.0,0.0,NNE,17,1020.1,26.4,23,0.0,N,28,1013.6,4096.7
386,2022/02/22,13.0,22.5,0.0,6.4,12.5,SSW,30.0,15:18,16.1,58.0,1.0,S,11,1017.9,21.4,55,1.0,SSW,17,1016.3,4370.37
146,2021/06/27,9.7,15.3,0.0,2.4,4.9,NNW,26.0,01:43,10.9,81.0,5.0,N,11,1025.9,13.6,75,5.0,SSW,9,1027.0,4855.16
206,2021/08/26,5.5,12.9,1.2,2.4,1.0,SE,31.0,12:54,9.2,82.0,7.0, ,Calm,1022.7,12.2,55,7.0,SSE,13,1020.3,5622.2
116,2021/05/28,11.0,13.8,0.4,0.4,0.5,S,39.0,07:07,12.2,60.0,7.0,S,15,1031.8,12.7,59,7.0,S,11,1032.4,5378.69
8,2021/02/09,12.0,25.2,0.0,4.0,12.7,SSW,28.0,14:00,16.9,71.0,4.0,SSE,11,1018.4,23.3,50,1.0,SSW,13,1014.5,4451.44
147,2021/06/28,6.4,15.1,0.0,1.4,9.0,NNW,24.0,12:27,7.8,97.0,1.0,NNE,7,1032.8,14.6,53,1.0,NNE,9,1031.0,5615.12
143,2021/06/24,9.8,16.7,0.0,1.0,5.2,N,41.0,12:07,12.6,85.0,1.0,N,6,1007.2,15.3,54,7.0,N,17,1004.9,5344.19
239,2021/09/28,7.7,23.0,0.0,6.0,9.1,SE,24.0,17:56,14.0,52.0,7.0,NNE,11,1018.2,22.2,31,7.0,NNE,9,1014.0,4424.11
68,2021/04/10,12.9,18.3,0.2,2.8,3.9,WSW,54.0,14:43,14.1,71.0,6.0,WNW,11,1007.9,15.4,53,7.0,SW,17,1008.0,4233.11
56,2021/03/29,13.8,18.2,1.0,2.8,8.0,SSW,35.0,14:21,15.4,73.0,7.0,SSW,11,1024.0,17.4,55,7.0,S,15,1024.7,4631.35
332,2021/12/30,14.0,34.4,0.0,6.8,12.4,SSW,28.0,17:55,16.7,76.0,1.0,NNE,7,1015.6,29.4,41,1.0,WSW,7,1010.8,4503.62
63,2021/04/05,16.0,19.0,0.0,5.8,8.1,SSW,30.0,15:38,16.9,58.0,7.0,SSE,9,1022.7,18.1,58,3.0,SSW,17,1021.5,3985.12
354,2022/01/21,17.1,29.6,0.0,8.8,13.5,NNW,33.0,06:39,22.6,43.0,0.0,N,11,1028.1,28.3,42,1.0,SSW,11,1023.9,5072.16
131,2021/06/12,7.4,16.5,9.4,0.4,1.0,WNW,33.0,12:32,12.7,85.0,7.0,WNW,7,1014.4,15.5,61,7.0,W,11,1014.0,4831.98
370,2022/02/06,14.1,27.9,0.0,8.2,12.9,SW,33.0,15:48,18.6,64.0,1.0,NNE,2,1025.2,25.9,42,4.0,SSW,15,1023.2,3849.31
312,2021/12/10,13.5,17.9,0.0,2.2,6.2,S,43.0,16:43,16.1,70.0,7.0,SSE,11,1017.8,16.2,67,7.0,SSW,20,1016.9,4264.4
104,2021/05/16,8.3,15.5,0.2,3.0,3.2,NW,35.0,14:15,10.3,67.0,6.0,N,11,1021.8,14.5,59,7.0,NW,11,1019.1,4762.69
179,2021/07/30,8.0,14.9,0.0,2.6,6.4,N,61.0,22:32,9.9,59.0,1.0,NNE,19.0,1015.1,13.6,49,7.0,N,26,1011.0,5375.98
93,2021/05/05,7.2,17.3,0.0,0.8,9.1,SSW,30.0,12:37,12.2,83.0,1.0, ,Calm,1026.0,17.0,52,5.0,SSW,9,1023.4,5050.18
21,2021/02/22,15.9,21.8,0.0,2.8,6.3,SSW,43.0,15:24,17.8,71.0,7.0,WSW,9,1012.3,20.4,52,7.0,S,17,1012.5,4398.86
407,2022/03/15,18.3,27.5,2.0,6.2,3.6,NNW,31.0,10:16,20.3,78.0,2.0,NNE,7,1019.8,24.8,57,7.0,SSW,13,1018.2,5005.89
405,2022/03/13,14.0,29.8,0.0,5.8,11.6,NNW,43.0,11:48,16.5,79.0,1.0,NNE,7,1020.9,28.7,40,3.0,NNW,17,1018.3,4181.52
257,2021/10/16,11.1,16.0,26.4,1.6,3.4,SSW,54.0,04:56,12.4,82.0,7.0,WSW,11,1009.0,14.5,69,7.0,S,19,1010.4,4283.73
148,2021/06/29,4.2,16.7,0.0,2.2,8.8,NNW,43.0,14:12,6.8,88.0,1.0,NE,2,1032.5,16.2,55,2.0,N,19,1029.4,5595.29
207,2021/08/27,4.6,13.6,0.0,1.2,3.8,SSW,15.0,12:18,7.7,88.0,7.0, ,Calm,1020.0,12.8,65,7.0,SSE,7,1017.4,5593.55
281,2021/11/09,8.0,20.3,0.0,4.2,9.2,SSW,22.0,12:23,14.2,63.0,1.0,NNE,6,1013.4,19.2,41,7.0,SSW,11,1011.7,4376.05
227,2021/09/16,4.5,16.0,0.0,3.4,9.1,SSW,19.0,13:07,9.6,72.0,2.0, ,Calm,1024.6,14.0,65,5.0,S,9,1020.6,4896.3
50,2021/03/23,17.6,22.0,13.8,0.6,0.6,SSW,30.0,14:29,17.8,100.0,7.0,SSE,4,1007.6,21.0,78,7.0,SSW,11,1002.5,4939.99
349,2022/01/16,18.3,31.9,0.0,5.8,11.6,S,24.0,14:10,20.1,60.0,1.0,SE,4,1009.4,25.3,55,1.0,SSW,13,1006.6,4636.54
315,2021/12/13,15.3,32.7,0.0,8.0,8.3,SSW,50.0,18:08,24.7,38.0,1.0,N,22,1011.9,31.4,26,6.0,NNW,11,1009.6,4858.99
393,2022/03/01,19.8,25.8,0.0,3.8,1.1,N,20.0,21:58,21.1,87.0,7.0,SSE,4,1012.1,23.8,76,7.0,W,2,1011.1,5194.93
310,2021/12/08,10.7,17.3,2.0,3.0,8.7,S,43.0,15:07,15.5,53.0,7.0,SSE,17,1018.1,16.6,48,2.0,SSW,20,1017.7,4265.96
297,2021/11/25,15.4,16.7,0.0,4.2,0.0,SSW,31.0,14:00,16.1,87.0,8.0,S,7,1013.5,14.7,89,8.0,S,13,1012.9,4700.03
19,2021/02/20,20.3,23.8,0.0,13.6,5.9,SSW,33.0,16:51,22.2,77.0,7.0, ,Calm,1013.2,22.0,76,4.0,SSW,11,1011.4,5065.78
209,2021/08/29,9.1,16.2,0.6,6.4,4.3,NNE,33.0,01:50,10.6,79.0,7.0,N,13,1011.4,12.8,84,7.0,S,6,1010.4,4676.03
258,2021/10/17,10.8,17.4,0.4,4.8,5.6,S,24.0,13:31,12.0,68.0,7.0,WNW,9,1015.3,16.8,49,7.0,SSW,9,1013.0,4145.62
51,2021/03/24,17.0,20.3,0.6,2.2,1.7,S,33.0,13:40,17.5,100.0,7.0,W,4,999.9,19.3,85,7.0,S,17,999.7,4788.79
132,2021/06/13,10.9,15.9,0.0,1.4,0.7,NNW,17.0,10:49,11.7,86.0,7.0, ,Calm,1018.8,14.3,69,7.0,S,6,1016.8,4795.56
173,2021/07/24,7.5,14.4,0.0,1.4,3.4,NNW,48.0,14:46,9.5,78.0,7.0,N,19.0,998.2,13.9,53,5.0,NNW,19,995.3,5222.8
153,2021/07/04,6.5,13.1,0.2,1.2,3.5,NNW,46.0,14:32,7.7,79.0,3.0,N,20.0,1016.4,12.2,67,7.0,NW,17,1015.3,5429.4
344,2022/01/11,18.5,29.7,0.0,8.0,10.8,SSW,35.0,14:06,21.4,69.0,7.0,S,6,1020.7,24.8,64,6.0,S,13,1019.6,4890.41
