Date,Minimum temperature (°C),Maximum temperature (°C),Mean Temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h)
2022/01/29,17.5,21.8,19.65,38.6,5.4,0.3,30.0
2022/03/02,19.7,29.6,24.65,6.0,0.6,4.4,22.0
2021/12/18,16.6,33.5,25.05,0.0,12.8,11.0,46.0
2022/01/26,19.6,36.0,27.8,0.0,9.2,10.5,46.0
2021/04/14,11.5,20.8,16.15,0.0,7.8,6.8,43.0
2021/05/02,13.7,26.0,19.85,0.0,6.4,3.8,39.0
2021/07/19,9.1,13.0,11.05,0.0,1.8,2.9,31.0
2021/04/01,12.4,29.9,21.15,0.0,4.4,10.8,20.0
2021/02/21,17.9,20.6,19.25,0.0,6.0,0.0,30.0
2021/04/07,14.9,23.0,18.95,0.0,3.2,4.9,20.0
2021/12/28,11.4,22.6,17.0,0.0,8.0,11.9,41.0
2021/02/27,11.3,18.6,14.950000000000001,0.0,6.0,1.0,20.0
2022/02/03,13.3,18.2,15.75,1.2,4.2,2.2,39.0
2021/11/05,13.3,22.9,18.1,0.0,3.8,7.9,24.0
2022/01/04,16.2,23.1,19.65,0.0,7.6,0.5,43.0
2021/12/31,16.6,37.7,27.150000000000002,0.0,11.4,12.8,46.0
2022/02/16,16.4,25.8,21.1,0.0,5.6,2.4,19.0
2021/03/27,13.2,21.3,17.25,3.4,3.8,4.1,31.0
2021/12/11,12.6,22.4,17.5,0.0,4.6,8.6,35.0
2021/10/25,10.4,15.2,12.8,0.8,4.4,5.1,39.0
2022/03/09,14.6,22.0,18.3,0.0,4.0,11.1,43.0
2021/08/20,8.7,17.3,13.0,0.8,3.6,3.2,50.0
2021/11/03,16.5,25.1,20.8,0.0,12.6,0.1,52.0
2021/09/23,10.0,21.5,15.75,0.0,2.8,11.4,35.0
2021/04/23,12.1,17.3,14.7,0.4,3.0,2.0,31.0
2021/05/31,3.0,16.1,9.55,0.0,2.2,9.1,31.0
2021/02/03,13.7,25.9,19.799999999999997,0.0,5.4,13.1,33.0
2021/05/11,10.7,16.3,13.5,15.8,2.8,0.1,41.0
2021/12/20,12.2,28.6,20.4,1.8,6.8,12.9,39.0
2022/02/26,18.4,29.1,23.75,0.0,4.8,10.8,35.0
2021/04/21,7.1,14.9,11.0,10.4,0.2,7.7,19.0
2021/02/15,14.4,24.6,19.5,0.0,5.6,9.2,22.0
2022/01/24,20.2,33.7,26.950000000000003,0.0,10.8,10.6,31.0
2021/12/05,10.2,21.5,15.85,0.0,3.4,13.0,30.0
2021/07/12,5.9,16.1,11.0,0.0,3.0,5.1,50.0
2021/10/04,11.8,18.1,14.950000000000001,1.0,3.0,8.0,63.0
2021/05/04,9.4,15.5,12.45,30.8,4.6,0.1,39.0
2021/06/02,9.2,19.6,14.4,0.0,3.2,7.7,33.0
2021/02/11,17.2,32.8,25.0,0.0,8.0,5.5,46.0
2021/06/23,5.6,15.3,10.45,0.0,2.7,2.1,46.0
2021/02/16,15.9,31.3,23.6,0.0,6.2,8.3,33.0
2021/05/03,12.5,18.2,15.35,0.2,6.8,0.8,28.0
2022/02/09,19.1,30.9,25.0,0.0,9.2,4.4,39.0
2021/05/14,7.8,15.6,11.7,4.2,2.4,4.5,35.0
2021/03/26,11.2,22.0,16.6,0.2,2.8,6.5,33.0
2021/10/26,6.3,18.1,12.200000000000001,0.0,2.2,11.7,24.0
2021/07/18,8.5,14.2,11.35,4.2,1.0,3.0,28.0
2022/02/18,15.4,21.0,18.2,0.0,5.8,7.3,41.0
2021/06/30,5.5,16.9,11.2,0.0,1.2,6.8,39.0
2021/11/20,13.0,16.9,14.95,0.0,3.4,7.6,35.0
2021/08/23,10.8,14.3,12.55,0.8,7.0,5.4,50.0
2021/02/05,17.3,29.8,23.55,0.4,7.8,8.9,52.0
2021/06/16,8.3,16.0,12.15,1.8,2.2,2.9,41.0
2021/04/29,8.2,18.4,13.299999999999999,0.0,2.2,9.9,17.0
2021/02/17,16.6,28.8,22.700000000000003,0.0,7.4,11.9,26.0
2022/02/15,17.9,22.5,20.2,0.0,9.8,6.7,28.0
2021/08/10,9.1,17.7,13.399999999999999,0.0,2.4,8.1,52.0
2022/03/16,18.9,23.2,21.049999999999997,0.0,3.6,1.7,41.0
2022/03/17,17.7,29.2,23.45,0.0,4.6,5.0,33.0
2021/12/06,12.8,27.4,20.1,0.0,7.6,10.8,46.0
2021/08/18,7.6,15.5,11.55,0.6,1.8,1.8,24.0
2021/02/25,11.3,24.3,17.8,0.0,5.8,8.7,39.0
2021/11/04,13.5,17.5,15.5,45.4,3.0,8.3,39.0
2021/12/16,12.8,19.9,16.35,0.0,3.0,11.4,33.0
2021/10/03,12.6,22.0,17.3,0.0,1.4,5.9,35.0
2021/10/23,12.7,16.1,14.4,14.6,7.6,0.0,39.0
2021/05/23,6.1,20.2,13.149999999999999,0.0,3.4,8.8,24.0
2021/08/07,10.5,15.5,13.0,0.0,1.6,2.4,30.0
2021/08/03,8.7,14.5,11.6,4.8,2.6,4.1,35.0
2021/05/08,9.9,19.8,14.850000000000001,0.0,2.8,5.1,24.0
2021/08/30,6.4,17.6,12.0,4.0,1.4,7.4,50.0
2021/02/26,13.3,19.7,16.5,0.4,7.0,6.3,33.0
2021/09/24,11.0,18.8,14.9,0.0,7.6,9.1,50.0
2021/09/13,7.1,14.3,10.7,5.6,3.6,9.1,37.0
2022/01/28,21.7,32.8,27.25,1.6,13.2,4.6,43.0
2021/07/17,7.6,13.7,10.649999999999999,0.2,2.8,0.8,33.0
2021/10/24,10.1,15.3,12.7,2.0,1.8,7.2,41.0
2022/01/30,18.7,29.2,23.95,0.0,3.0,6.2,30.0
2021/07/15,10.0,17.1,13.55,3.0,1.6,7.0,43.0
2021/12/15,15.2,17.7,16.45,0.0,6.0,0.0,28.0
2022/02/02,14.9,19.9,17.4,3.2,8.6,1.1,41.0
2021/11/22,10.2,20.8,15.5,0.0,5.0,11.4,24.0
2021/05/24,6.8,19.9,13.35,0.0,2.6,4.8,31.0
2022/02/24,19.3,22.7,21.0,0.0,6.8,2.9,37.0
2021/06/20,5.2,14.5,9.85,0.0,0.0,6.9,20.0
2022/01/10,15.5,31.4,23.45,0.2,6.8,10.9,31.0
